AUTHOR,YEAR,TITLE,JOURNAL,CATEGORY,URL_DOI
"Luna, et al.",2017,Terrestrial mammal assemblages in protected and human impacted areas in Northern Brazilian Amazonia,Nature Conservation,ARTICLE,10.3897/natureconservation.22.17370
"Paschoal, et al.",2016,Use of Atlantic Forest protected areas by free-ranging dogs: estimating abundance and persistence of use,Ecosphere,ARTICLE,10.1002/ecs2.1480
"Akkawi, et al.",2020,Dominance hierarchy on palm resource partitioning among Neotropical frugivorous mammals,Journal of Mammalogy,ARTICLE,10.1093/jmammal/gyaa052
"Michalski, et al.",2015,Ecological Relationships of Meso-Scale Distribution in 25 Neotropical Vertebrate Species,PLOS ONE,ARTICLE,10.1371/journal.pone.0126114
"Silva, et al.",2021,"Medium and large-sized mammals of a private protected wetland in the Cerrado-Amazon biological corridor, Brazil",Brazilian Journal of Biology,ARTICLE,10.1590/1519-6984.243666
Teal,2020,A camera trapping study on the spatial distribution of terrestrial mammals within a human-dominated landscape in the Pacific lowlands of Costa Rica,,PHDTHESIS,https://doi.org/10.25365/thesis.62291
"Jansen, et al.",2020,A camera trapping survey of mammals in the mixed landscape of Bolivia’s Chiquitano region with a special focus on the Jaguar,Check List,ARTICLE,10.15560/16.2.323
Pardo et al.,2016,Assessing species traits and landscape relationships of the mammalian carnivore community in a neotropical biological corridor,Biodiversity and Conservation,ARTICLE,10.1007/s10531-016-1089-7
Palacios et al.,2017,"Large mammal richness in Llanganates National Park, Ecuador",Mammalia,ARTICLE,10.1515/mammalia-2017-0071
Mattey et al.,2022,"Diversity and activity patterns of medium and large terrestrial mammals in the Lapa Verde Wildlife Refuge, Heredia, Costa Rica",Revista de Ciencias Ambientales,ARTICLE,10.15359/rca.56/1.12
"Caballero, et al.",2020,Diversity of mammals and birds recorded with camera-traps in the Paraguayan Humid Chaco,Boletín del Museo Nacional de Historia Natural del Paraguay,ARTICLE,http://hdl.handle.net/11336/235219
"Salom-Pérez, et al.",2021,Forest cover mediates large and medium-sized mammal occurrence in a critical link of the Mesoamerican Biological Corridor,PLOS ONE,ARTICLE,10.1371/journal.pone.0249072
"Weiler, et al.",2020,Forest matters: Use of water reservoirs by mammal communities in cattle ranch landscapes in the Paraguayan Dry Chaco,Global Ecology and Conservation,ARTICLE,10.1016/j.gecco.2020.e01103
"Magioli, et al.",2023,Mammal diversity and composition are not affected by certified timber extraction in Suriname,Forest Ecology and Management,ARTICLE,10.1016/j.foreco.2023.121080
"Aranguren, et al.",2023,"﻿Mammals of the Tandilia Mountain system, current species inhabiting Pampean highland grasslands",Neotropical Biology and Conservation,ARTICLE,https://doi.org/10.3897/neotropical.18.e98374
"Aya-Cuero, et al.",2019,"Medium and large mammals of the mid Planas River basin, Colombia",Biota colombiana,ARTICLE,http://www.scielo.org.co/scielo.php?script = sci_arttext&pid = S0124-53762019000200076&nrm = iso
"Bardales, et al.",2023,"National parks and conservation concessions: a comparison between mammal populations in two types of tropical protected areas in Ucayali, Peru",Journal of Tropical Ecology,ARTICLE,10.1017/S0266467422000414
"Renison, et al.",2023,Setting large- and medium-sized mammal restoration goals in a last mountain Chaco remnant from central Argentina,Ecological Processes,ARTICLE,10.1186/s13717-023-00434-z
Cravino & Brazeiro,2023,Tick-tock… says the moon and the sun: Daily activity patterns of mid-large-sized mammals in grassland-dominated landscapes afforested with Eucalyptus,Austral Ecology,ARTICLE,10.1111/aec.13411
Gómez Valencia,2017,Relación entre el Índice de Provisión de Servicios Ecosistémicos y la riqueza de medianos y grandes mamíferos en el Chaco subhúmedo central,,PHDTHESIS,http://ri.agro.uba.ar/greenstone3/library/collection/tesis/document/2018gomezvalenciabibiana
Grattarola & Rodríguez-Tricot,2020,"Mammals of Paso Centurión, an area with relicts of Atlantic Forest in Uruguay",Neotropical Biology and Conservation,ARTICLE,10.3897/neotropical.15.e53062
Torres & Rojas,2021,"Species richness, geographical affinities and activity patterns of mammals in premontane Andean forests of the Magdalena River basin of Colombia",Neotropical Biology and Conservation,ARTICLE,10.3897/neotropical.16.e57109
"Ouboter, et al.",2019,NeoWild Brownsberg Nature Park Camera trap Monitoring 2016-2017,,DATASET,10.15468/apqeyf
Decarre,2015,Diversity and structure of bird and mammal communities in the Semiarid Chaco Region: response to agricultural practices and landscape alterations,,PHDTHESIS,https://repositorio.inta.gob.ar/handle/20.500.12123/6204
Georgia Smith,2021,"Estimating the diversity of bird and mammal communities using camera traps in a cloud forest environment, Costa Rica",,PHDTHESIS,http://www.cloudbridge.org/wp-content/uploads/2021/09/Estimating-the-diversity-of-bird-and-mammal-communities-using-camera-traps-in-a-cloud-forest-environment-Costa-Rica.pdf
"Carvalho, et al.",2013,"Comparison of two mammalian surveys made with camera traps in southeastern Brazil, focusing the abundance of wild mammals and domestic dogs",Brazilian Journal of Biology,ARTICLE,10.1590/S1519-69842013000100005
